Freq_GHz,S11_dB,S21_dB,Gamma_even_mag_dB,Gamma_even_phase_deg,Gamma_odd_mag_dB,Gamma_odd_phase_deg,mag_difference_dB,phase_difference_deg,re_Gamma_even,im_Gamma_even,re_Gamma_odd,im_Gamma_odd,mesh
4.0000,-0.3331,-41.0451,-0.4127,103.645,-0.2542,103.792,-0.1585,-0.147,-0.224966,0.926684,-0.231524,0.943160,Setup1_adaptive_4.62GHz
4.0100,-0.3418,-40.8922,-0.4230,102.803,-0.2614,102.944,-0.1616,-0.141,-0.211072,0.928784,-0.217366,0.945698,Setup1_adaptive_4.62GHz
4.0200,-0.3510,-40.7381,-0.4338,101.954,-0.2689,102.089,-0.1649,-0.135,-0.197034,0.930657,-0.203048,0.948016,Setup1_adaptive_4.62GHz
4.0300,-0.3605,-40.5826,-0.4450,101.097,-0.2768,101.226,-0.1682,-0.129,-0.182852,0.932298,-0.188569,0.950106,Setup1_adaptive_4.62GHz
4.0400,-0.3704,-40.4258,-0.4566,100.231,-0.2850,100.354,-0.1716,-0.123,-0.168526,0.933699,-0.173929,0.951960,Setup1_adaptive_4.62GHz
4.0500,-0.3808,-40.2676,-0.4688,99.358,-0.2937,99.474,-0.1751,-0.116,-0.154056,0.934852,-0.159126,0.953571,Setup1_adaptive_4.62GHz
4.0600,-0.3916,-40.1079,-0.4814,98.476,-0.3027,98.585,-0.1787,-0.109,-0.139442,0.935749,-0.144161,0.954930,Setup1_adaptive_4.62GHz
4.0700,-0.4029,-39.9467,-0.4946,97.585,-0.3122,97.687,-0.1824,-0.102,-0.124684,0.936381,-0.129031,0.956028,Setup1_adaptive_4.62GHz
4.0800,-0.4148,-39.7841,-0.5084,96.684,-0.3221,96.779,-0.1863,-0.094,-0.109782,0.936738,-0.113738,0.956856,Setup1_adaptive_4.62GHz
4.0900,-0.4271,-39.6198,-0.5228,95.775,-0.3326,95.861,-0.1902,-0.086,-0.094737,0.936812,-0.098279,0.957405,Setup1_adaptive_4.62GHz
4.1000,-0.4401,-39.4540,-0.5378,94.855,-0.3435,94.933,-0.1943,-0.078,-0.079549,0.936593,-0.082655,0.957663,Setup1_adaptive_4.62GHz
