"Freq [GHz]","dB(S(2,1)) [] - dv1_y='2.5mm'","dB(S(2,1)) [] - dv1_y='4.5mm'","dB(S(2,1)) [] - dv1_y='2.5mm'","dB(S(2,1)) [] - dv1_y='4.5mm'","dB(S(2,1))_1 []","dB(S(2,1))_2 []"
4.4,-32.5879582127033,-32.3086513819205,,,-33.5605318208757,
4.41,-32.3421655368755,-32.0411838914754,,,-33.3345762667106,
4.42,-32.0950878092425,-31.7720505567163,,,-33.1080558096362,
4.43,-31.8471234608447,-31.501651709061,,,-32.8813944530967,
4.44,-31.598754188707,-31.2304742366683,,,-32.6551006679672,
4.45,-31.3505600923169,-30.9591073126578,,,-32.4297827182258,
4.46,-31.1032376049872,-30.688260986065,,,-32.2061668755421,
4.47,-30.8576207280761,-30.418788134958,,,-31.9851190775777,
4.48,-30.6147061581699,-30.1517103540934,,,-31.767670686953,
4.49,-30.3756829878556,-29.8882484253732,,,-31.555049128486,
4.5,-30.1419677594728,-29.6298580974691,,,-31.3487143221191,
4.51,-29.9152457571883,-29.3782719792808,,,-31.1504019948815,
4.52,-29.6975195378042,-29.1355484276306,,,-30.9621751545293,
4.53,-29.4911658284131,-28.9041283881243,,,-30.7864852567283,
4.54,-29.2990020744617,-28.6869012389914,,,-30.6262449284764,
4.55,-29.1243641360589,-28.4872808244591,,,-30.4849145829469,
4.56,-28.9711969767125,-28.3092931172061,,,-30.3666059928707,
4.57,-28.8441608035387,-28.1576774595656,,,-30.2762070989458,
4.58,-28.748756274891,-28.0380043697712,,,-30.2195344285947,
4.59,-28.691474580503,-27.9568149475586,,,-30.2035232402435,
4.6,-28.6799823149999,-27.92179083101,,,-30.2364722720731,
4.61,-28.7233586886873,-27.9419709289489,,,-30.3283723024206,
4.62,-28.8324165649429,-28.0280443574599,,,-30.4913703627585,
4.63,-29.0201641652098,-28.1927726865299,,,-30.7404635210001,
4.64,-29.302510567153,-28.4516370764054,,,-31.0945961577807,
4.65,-29.6994041974237,-28.8238833002674,,,-31.5784926334405,
4.66,-30.2367594250481,-29.3342835983669,,,-32.2258875634738,
4.67,-30.9498639120442,-30.0162238307457,,,-33.0855642120149,
4.68,-31.8896962789513,-30.9173364965698,,,-34.2334962130043,
4.69,-33.1353272856286,-32.1102823562394,,,-35.7998361776853,
4.7,-34.8200176714438,-33.7145265301327,,,-38.0384250792544,
4.71,-37.1896972135803,-35.9415014759259,,,-41.5516616362142,
4.72,-40.7134095962289,-39.1615331390213,,,-48.2928032034453,
4.73,-45.3511128543505,-43.308730601065,,,-50.6932398985317,
4.74,-43.3281060202587,-42.4242243226243,,,-41.3484161814054,
4.75,-37.7938043698452,-37.281537835483,,,-36.2090720735589,
4.76,-33.682772227507,-33.1738439328546,,,-32.6064357761678,
4.77,-30.5149999367592,-29.987049308553,,,-29.7460854111283,
4.78,-27.896089312268,-27.3595811653303,,,-27.3144073583482,
4.79,-25.6231172949632,-25.0900939318803,,,-25.1602977422249,
4.8,-23.5893129640055,-23.0708399501766,,,-23.2055468937856,
4.81,-21.7416590349993,-21.2483375694756,,,-21.4136882622225,
4.82,-20.0642637878834,-19.606859276743,,,-19.7790325950374,
4.83,-18.5731667997579,-18.1627446466557,,,-18.3241646338969,
4.84,-17.3152679351288,-16.9622879820712,,,-17.1000133966975,
4.85,-16.3643201813932,-16.0760350612691,,,-16.1820006797487,
4.86,-15.805221204944,-15.5814694005433,,,-15.6539908827661,
4.87,-15.7025482331051,-15.532256360144,,,-15.577011702599,
4.88,-16.0667640842241,-15.9289369724394,,,-15.957162284304,
4.89,-16.8444805591572,-16.7143014583423,,,-16.7382546474059,
4.9,-17.9405313267837,-17.7963648242831,,,-17.8248486104172,
4.91,-19.25023332383,-19.077634066197,,,-19.1137409726667,
4.92,-20.6801261253499,-20.4726616178712,,,-20.5136213574037,
4.93,-22.1539944781397,-21.9124940922331,,,-21.9506310154239,
4.94,-23.6109132080069,-23.3423301263559,,,-23.3665258994589,
4.95,-25.001442515322,-24.7176587069966,,,-24.7152080892574,
4.96,-26.2850272566771,-26.001422739352,,,-25.9603279882563,
4.97,-27.429499542628,-27.16300636834,,,-27.0745835971849,
4.98,-28.4122467024785,-28.17886242583,,,-28.040184944645,
4.99,-29.2217165091045,-29.0339088479168,,,-28.8493749049077,
5,-29.8577163430309,-29.7224652166001,,,-29.5039437183662,
5.4,,,-18.6442601106601,-17.0476822042952,,-20.2392381548826
5.41,,,-18.6100615348863,-17.0514810749955,,-20.1723547577291
5.42,,,-18.604154846271,-17.0860271088197,,-20.1305488762871
5.43,,,-18.6263704811149,-17.1508872835013,,-20.1136797576768
5.44,,,-18.6765166613044,-17.2457096739097,,-20.1215297341757
5.45,,,-18.7544115524067,-17.3702838080666,,-20.1538233325383
5.46,,,-18.8599191426606,-17.5246077805882,,-20.2102489927011
5.47,,,-18.9929883918143,-17.7089633072932,,-20.2904827384962
5.48,,,-19.1536950350512,-17.9240005690116,,-20.3942128313549
5.49,,,-19.3422850312852,-18.1708353361055,,-20.5211639093245
5.5,,,-19.5592177501378,-18.4511613538259,,-20.671118163782
5.51,,,-19.8052051645355,-18.7673812366981,,-20.8439294409119
5.52,,,-20.0812399970022,-19.1227596885377,,-21.0395235135483
5.53,,,-20.38860075519,-19.52160667341,,-21.2578745468767
5.54,,,-20.7288169874653,-19.9695154609447,,-21.4989470140576
5.55,,,-21.1035836525424,-20.473736989284,,-21.762604240745
5.56,,,-21.514654835728,-21.043904429147,,-22.0485311971702
5.57,,,-21.9638552602103,-21.6935004192623,,-22.3563153586436
5.58,,,-22.4534614069968,-22.4424179606942,,-22.6858931437559
5.59,,,-22.98699394783,-23.3203930682828,,-23.0383266680947
5.6,,,-23.5696416658407,-24.3707093782102,,-23.416242629226
5.61,,,-24.2069837643767,-25.654766769636,,-23.8231246717884
5.62,,,-24.9016759409544,-27.2588480314612,,-24.2617466598418
5.63,,,-25.6488790982987,-29.2952548003549,,-24.7328736930408
5.64,,,-26.4305046725056,-31.8215160232031,,-25.2346729741462
5.65,,,-27.207754997776,-34.209418564545,,-25.7624311047065
5.66,,,-27.9140719029559,-33.9259084273687,,-26.3082341306866
5.67,,,-28.4573472569632,-30.9309544866618,,-26.8607195984748
5.68,,,-28.7448479767684,-27.7529722151151,,-27.4053020096286
5.69,,,-28.7282408534871,-25.0240764731338,,-27.9252426823785
5.7,,,-28.430714386027,-22.6891791395207,,-28.4034790477699
5.71,,,-27.9231407115239,-20.6627384733467,,-28.824324991009
5.72,,,-27.2750485788968,-18.9125416442477,,-29.1736773850052
5.73,,,-26.5277770625178,-17.4394226335391,,-29.4372731526521
5.74,,,-25.7018458206035,-16.2445120150246,,-29.5989137849823
5.75,,,-24.8192818962277,-15.3115844292908,,-29.6422937624993
5.76,,,-23.9167416899848,-14.6075261799278,,-29.5580845812897
5.77,,,-23.0402099636077,-14.0911070111867,,-29.3523547898511
5.78,,,-22.230830382745,-13.721305624252,,-29.0491135242226
5.79,,,-21.5150922340618,-13.4620989056591,,-28.6841022392038
5.8,,,-20.903441759315,-13.2841274476331,,-28.2944183213937
5.81,,,-20.3940922393931,-13.1645381956071,,-27.9104478228678
5.82,,,-19.977994357875,-13.0860473965067,,-27.5527335669362
5.83,,,-19.6428612641571,-13.0358211181574,,-27.2326248370352
5.84,,,-19.3757697254988,-13.0044460127486,,-26.9545502632893
5.85,,,-19.1645785318001,-12.9850820214073,,-26.718424748039
5.86,,,-18.9985587508317,-12.9728039196961,,-26.5215653548195
5.87,,,-18.8685654042599,-12.9641060791554,,-26.3600112330621
5.88,,,-18.7669725836797,-12.9565370638059,,-26.2293498096546
5.89,,,-18.6875048580098,-12.9484330725449,,-26.1251930591611
5.9,,,-18.6250376777521,-12.9387248135362,,-26.0434267815848
5.91,,,-18.5754030280748,-12.9267981903943,,-25.9803215103828
5.92,,,-18.5352160472408,-12.9123941324707,,-25.9325636036316
5.93,,,-18.5017274911509,-12.8955367869396,,-25.8972431474185
5.94,,,-18.472701636893,-12.8764822016228,,-25.8718206620345
5.95,,,-18.4463169494247,-12.8556817495964,,-25.8540853151722
5.96,,,-18.4210861229828,-12.8337560659643,,-25.842111657091
5.97,,,-18.3957921461609,-12.8114763395294,,-25.8342185032188
5.98,,,-18.369437396205,-12.7897505489959,,-25.8289316250703
5.99,,,-18.3412032239572,-12.7696127468963,,-25.8249508087727
6,,,-18.3104179441999,-12.7522138427468,,-25.8211212510032
