"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,1)) []"
4.4,-1.46747353587908,,-33.5605318208757,
4.41,-1.55108783321625,,-33.3345762667106,
4.42,-1.64195617385676,,-33.1080558096362,
4.43,-1.7409283441166,,-32.8813944530967,
4.44,-1.84897935971705,,-32.6551006679672,
4.45,-1.96723163826579,,-32.4297827182258,
4.46,-2.09698176983086,,-32.2061668755421,
4.47,-2.23973299227523,,-31.9851190775777,
4.48,-2.39723478990972,,-31.767670686953,
4.49,-2.57153145131677,,-31.555049128486,
4.5,-2.76502198921153,,-31.3487143221191,
4.51,-2.98053460793732,,-31.1504019948815,
4.52,-3.22142000652517,,-30.9621751545293,
4.53,-3.49166938898283,,-30.7864852567283,
4.54,-3.79606538267504,,-30.6262449284764,
4.55,-4.14037757388601,,-30.4849145829469,
4.56,-4.53161978499219,,-30.3666059928707,
4.57,-4.97839478986974,,-30.2762070989458,
4.58,-5.4913660534623,,-30.2195344285947,
4.59,-6.08391906878871,,-30.2035232402435,
4.6,-6.7731134952023,,-30.2364722720731,
4.61,-7.58109237333157,,-30.3283723024206,
4.62,-8.53722090999147,,-30.4913703627585,
4.63,-9.68137717827202,,-30.7404635210001,
4.64,-11.0688891475435,,-31.0945961577807,
4.65,-12.7766831417597,,-31.5784926334405,
4.66,-14.9023090333318,,-32.2258875634738,
4.67,-17.4942506762182,,-33.0855642120149,
4.68,-20.0681823427148,,-34.2334962130043,
4.69,-20.5305033789241,,-35.7998361776853,
4.7,-18.2840439937388,,-38.0384250792544,
4.71,-15.6175099068913,,-41.5516616362142,
4.72,-13.3931331181279,,-48.2928032034453,
4.73,-11.6321412593425,,-50.6932398985317,
4.74,-10.2431508374887,,-41.3484161814054,
4.75,-9.14974515119636,,-36.2090720735589,
4.76,-8.29996949986686,,-32.6064357761678,
4.77,-7.66161030479857,,-29.7460854111283,
4.78,-7.21841754051662,,-27.3144073583482,
4.79,-6.96902461029574,,-25.1602977422249,
4.8,-6.92888327280736,,-23.2055468937856,
4.81,-7.13620862449302,,-21.4136882622225,
4.82,-7.66465130241068,,-19.7790325950374,
4.83,-8.64948578935573,,-18.3241646338969,
4.84,-10.3465146859371,,-17.1000133966975,
4.85,-13.291933990516,,-16.1820006797487,
4.86,-18.8039949901708,,-15.6539908827661,
4.87,-22.9788519334315,,-15.577011702599,
4.88,-15.34075380189,,-15.957162284304,
4.89,-10.8708001291759,,-16.7382546474059,
4.9,-8.17585233868001,,-17.8248486104172,
4.91,-6.39199949656816,,-19.1137409726667,
4.92,-5.14140181660447,,-20.5136213574037,
