"Phi [deg]","Theta [deg]","Freq [GHz]","dB(RealizedGainTotal) []","dB(RealizedGainTotal) []"
0,0,4.4,0.028996035896402,
0,0,4.41,0.261715167693933,
0,0,4.42,0.496992712115922,
0,0,4.43,0.734785705783177,
0,0,4.44,0.975025177061603,
0,0,4.45,1.21761065309381,
0,0,4.46,1.46240348692379,
0,0,4.47,1.70921894786685,
0,0,4.48,1.9578169424236,
0,0,4.49,2.20789106809354,
0,0,4.5,2.45905575468762,
0,0,4.51,2.71083143797113,
0,0,4.52,2.96262741014851,
0,0,4.53,3.21372249935484,
0,0,4.54,3.46324323028316,
0,0,4.55,3.71014014214201,
0,0,4.56,3.95316242595809,
0,0,4.57,4.19083228953724,
0,0,4.58,4.42141993089036,
0,0,4.59,4.64292238770799,
0,0,4.6,4.85304853703046,
0,0,4.61,5.04921505657543,
0,0,4.62,5.22855805749861,
0,0,4.63,5.38796620526171,
0,0,4.64,5.52414063713169,
0,0,4.65,5.63368645668192,
0,0,4.66,5.71323781494696,
0,0,4.67,5.75961594638531,
0,0,4.68,5.77001473679909,
0,0,4.69,5.74220632546581,
0,0,4.7,5.67475807248203,
0,0,4.71,5.56725678081553,
0,0,4.72,5.42054622904496,
0,0,4.73,5.23700207053525,
0,0,4.74,5.02088952922448,
0,0,4.75,4.77887182511237,
0,0,4.76,4.52074395383844,
0,0,4.77,4.26042754780465,
0,0,4.78,4.01710776169762,
0,0,4.79,3.816011558698,
0,0,4.8,3.68762141463847,
0,0,4.81,3.66328050800972,
0,0,4.82,3.76516010340127,
0,0,4.83,3.99115964135107,
0,0,4.84,4.30089414359292,
0,0,4.85,4.61375418849025,
0,0,4.86,4.82815561894026,
0,0,4.87,4.85932611583068,
0,0,4.88,4.6745743579858,
0,0,4.89,4.29908022559229,
0,0,4.9,3.79005212683534,
0,0,4.91,3.20493992101072,
0,0,4.92,2.58462474246099,
0,0,4.93,1.95191619328139,
0,0,4.94,1.31669985850698,
0,0,4.95,0.681461078337439,
0,0,4.96,0.0450815766801069,
0,0,4.97,-0.595034810629826,
0,0,4.98,-1.24190537564356,
0,0,4.99,-1.89846595561657,
0,0,5,-2.56729647665535,
0,0,5.4,,2.9257864486423
0,0,5.41,,3.12819074170982
0,0,5.42,,3.31719356302955
0,0,5.43,,3.49348714759992
0,0,5.44,,3.6577494062344
0,0,5.45,,3.81064018080051
0,0,5.46,,3.95279717969134
0,0,5.47,,4.08483026705366
0,0,5.48,,4.20731429816378
0,0,5.49,,4.320779860599
0,0,5.5,,4.4257010760184
0,0,5.51,,4.52247823482639
0,0,5.52,,4.61141291587615
0,0,5.53,,4.69267061595139
0,0,5.54,,4.76622850647417
0,0,5.55,,4.8318088218801
0,0,5.56,,4.8888215018738
0,0,5.57,,4.93637664760977
0,0,5.58,,4.97344775684816
0,0,5.59,,4.99915708501113
0,0,5.6,,5.01289811582019
0,0,5.61,,5.01398185149104
0,0,5.62,,5.00096683953749
0,0,5.63,,4.97116110856612
0,0,5.64,,4.92046672952162
0,0,5.65,,4.84337069932516
0,0,5.66,,4.73289291636671
0,0,5.67,,4.58045382839077
0,0,5.68,,4.375706587946
0,0,5.69,,4.10640076193383
0,0,5.7,,3.75834142628751
0,0,5.71,,3.31549027426223
0,0,5.72,,2.76021165947904
0,0,5.73,,2.07357804700807
0,0,5.74,,1.23552080949411
0,0,5.75,,0.224470200585945
0,0,5.76,,-0.983979216591381
0,0,5.77,,-2.41987172330211
0,0,5.78,,-4.12349558408262
0,0,5.79,,-6.15104973925189
0,0,5.8,,-8.57399202722296
0,0,5.81,,-11.4249602626296
0,0,5.82,,-14.3434163911529
0,0,5.83,,-15.6396350184604
0,0,5.84,,-14.2126827095173
0,0,5.85,,-11.964749310327
0,0,5.86,,-9.99226855323979
0,0,5.87,,-8.40992312275452
0,0,5.88,,-7.14287982633762
0,0,5.89,,-6.11307014365483
0,0,5.9,,-5.26190703852234
0,0,5.91,,-4.54744875424698
0,0,5.92,,-3.93951986316155
0,0,5.93,,-3.41602529689939
0,0,5.94,,-2.96046353332241
0,0,5.95,,-2.56027568339758
0,0,5.96,,-2.20573806518319
0,0,5.97,,-1.88920596027607
0,0,5.98,,-1.60458651041009
0,0,5.99,,-1.3469645877995
0,0,6,,-1.11233145852394
