"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
4.64,0,-180,-22.0017642677572,-8.07370370184604
4.64,0,-178,-23.0277521848148,-8.12047397829535
4.64,0,-176,-24.0291691126744,-8.18631404558671
4.64,0,-174,-24.9000639604988,-8.27139560289848
4.64,0,-172,-25.4836745897983,-8.37589191406837
4.64,0,-170,-25.6261609474752,-8.49999039899921
4.64,0,-168,-25.2793484695286,-8.64390627488922
4.64,0,-166,-24.5413231571136,-8.80789746005819
4.64,0,-164,-23.5775848486649,-8.99228091039214
4.64,0,-162,-22.5284003536571,-9.19745051136388
4.64,0,-160,-21.4794765328169,-9.42389659253919
4.64,0,-158,-20.4733178565085,-9.67222705808503
4.64,0,-156,-19.5270124949917,-9.9431900206596
4.64,0,-154,-18.6446844375214,-10.237697658988
4.64,0,-152,-17.8244604514402,-10.5568507404579
4.64,0,-150,-17.0620139878674,-10.901962768162
4.64,0,-148,-16.3522740415806,-11.2745818653292
4.64,0,-146,-15.690207950707,-11.6765070125526
4.64,0,-144,-15.071150033399,-12.1097925962082
4.64,0,-142,-14.4909123381311,-12.576730505418
4.64,0,-140,-13.9457942451545,-13.0797906200659
4.64,0,-138,-13.4325482012565,-13.6214856160027
4.64,0,-136,-12.9483294102779,-14.2040996370641
4.64,0,-134,-12.4906426852421,-14.8291743959356
4.64,0,-132,-12.0572924133844,-15.496568771923
4.64,0,-130,-11.6463380042068,-16.2027873422221
4.64,0,-128,-11.2560554524889,-16.9381205033254
4.64,0,-126,-10.8849048365273,-17.6820668718805
4.64,0,-124,-10.5315032241081,-18.3969398501663
4.64,0,-122,-10.1946023399728,-19.0215223977403
4.64,0,-120,-9.87307033948482,-19.4712393030818
4.64,0,-118,-9.56587707355541,-19.6557183801959
4.64,0,-116,-9.27208228970415,-19.5163935106801
4.64,0,-114,-8.99082627895756,-19.059963553617
4.64,0,-112,-8.72132254158197,-18.3541631122246
4.64,0,-110,-8.46285210369974,-17.4905021905919
4.64,0,-108,-8.2147591707836,-16.5495662942781
4.64,0,-106,-7.97644785275417,-15.5875463421817
4.64,0,-104,-7.74737973907209,-14.6380896987876
4.64,0,-102,-7.52707214100357,-13.7189747964847
4.64,0,-100,-7.31509685228522,-12.8382066283088
4.64,0,-98,-7.11107930881461,-11.9982300704147
4.64,0,-96,-6.91469805282702,-11.1985188977696
4.64,0,-94,-6.72568442739644,-10.4370753416485
4.64,0,-92,-6.54382244320287,-9.71126866849031
4.64,0,-90,-6.36894877162378,-9.01829089554614
4.64,0,-88,-6.20095282674884,-8.3553958005301
4.64,0,-86,-6.03977690442204,-7.72001693255167
4.64,0,-84,-5.88541634954742,-7.10981887337433
4.64,0,-82,-5.7379197244089,-6.52271228711063
4.64,0,-80,-5.59738895147137,-5.95684988528051
4.64,0,-78,-5.4639794048808,-5.41061287094477
4.64,0,-76,-5.3378999264662,-4.88259315885428
4.64,0,-74,-5.21941274517452,-4.37157425970477
4.64,0,-72,-5.10883328411651,-3.87651235797421
4.64,0,-70,-5.00652984716092,-3.39651835002311
4.64,0,-68,-4.91292318747911,-2.93084118524065
4.64,0,-66,-4.82848597358814,-2.47885262192863
4.64,0,-64,-4.75374218404513,-2.04003338782999
4.64,0,-62,-4.68926647961898,-1.61396067483321
4.64,0,-60,-4.63568362100839,-1.20029687092236
4.64,0,-58,-4.59366802045678,-0.798779424165803
4.64,0,-56,-4.56394353645938,-0.409211734520188
4.64,0,-54,-4.54728364184956,-0.0314549745031946
4.64,0,-52,-4.54451211683297,0.334579253329087
4.64,0,-50,-4.5565044403198,0.688935507040766
4.64,0,-48,-4.58419007596702,1.03162042231161
4.64,0,-46,-4.62855587504237,1.36260802782245
4.64,0,-44,-4.69065084861957,1.68184452551875
4.64,0,-42,-4.77159259961662,1.98925259714821
4.64,0,-40,-4.87257575475384,2.28473529369569
4.64,0,-38,-4.99488280293596,2.56817955973944
4.64,0,-36,-5.13989783692035,2.83945944019781
4.64,0,-34,-5.3091238189104,3.09843901233819
4.64,0,-32,-5.50420416078201,3.3449750812289
4.64,0,-30,-5.72694964373603,3.57891967202772
4.64,0,-28,-5.97937202503179,3.80012234765304
4.64,0,-26,-6.26372612617059,4.00843237554564
4.64,0,-24,-6.58256281772541,4.20370076249886
4.64,0,-22,-6.93879618356203,4.38578217202149
4.64,0,-20,-7.33578936670024,4.55453673451572
4.64,0,-18,-7.77746532230361,4.70983175680176
4.64,0,-16,-8.26845114507477,4.85154333428381
4.64,0,-14,-8.81426808810425,4.97955786637796
4.64,0,-12,-9.42158419092087,5.09377347372716
4.64,0,-10,-10.0985528366446,5.1941013141931
4.64,0,-8,-10.8552681559594,5.28046679358692
4.64,0,-6,-11.7043740092238,5.35281066650566
4.64,0,-4,-12.6618554212428,5.41109002238802
4.64,0,-2,-13.7479778886042,5.45527915189801
4.64,0,0,-14.9880762108165,5.48537028890247
4.64,0,2,-16.4119234244281,5.50137422355843
4.64,0,4,-18.0469256020405,5.50332078232596
4.64,0,6,-19.8882379843095,5.49125917105267
4.64,0,8,-21.7939950157112,5.46525817764872
4.64,0,10,-23.2421651045977,5.42540623131794
4.64,0,12,-23.3725045860094,5.37181131588054
4.64,0,14,-22.1208967578258,5.30460073546957
4.64,0,16,-20.3313151018158,5.22392073185736
4.64,0,18,-18.5756812262447,5.12993595390457
4.64,0,20,-17.0204666419392,5.02282878113644
4.64,0,22,-15.6772272483806,4.90279850522177
4.64,0,24,-14.5195420469255,4.77006037511359
4.64,0,26,-13.5171666099596,4.62484451372961
4.64,0,28,-12.6440337147928,4.46739471620418
4.64,0,30,-11.8791856365562,4.2979671418158
4.64,0,32,-11.2060420514753,4.11682891356464
4.64,0,34,-10.6114550358997,3.92425664093088
4.64,0,36,-10.0848999021528,3.72053488250034
4.64,0,38,-9.61784963816486,3.50595456584588
4.64,0,40,-9.20330674721553,3.28081138229898
4.64,0,42,-8.83545561485752,3.04540417408956
4.64,0,44,-8.50940375471825,2.80003333089088
4.64,0,46,-8.22098789669699,2.5449992122613
4.64,0,48,-7.96662742274623,2.28060061207045
4.64,0,50,-7.74321258988637,2.0071332810333
4.64,0,52,-7.54801853079389,1.72488852429906
4.64,0,54,-7.37863853436506,1.43415189303562
4.64,0,56,-7.23293188000703,1.13520199252242
4.64,0,58,-7.10898275299409,0.828309434837013
4.64,0,60,-7.00506766209717,0.513735972221175
4.64,0,62,-6.91962942442348,0.19173385807396
