"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.68,0,-180,-27.6156076708169,-29.9568989799272
5.68,0,-178,-32.4411305210826,-31.2341125542559
5.68,0,-176,-25.436813780933,-32.5687371392087
5.68,0,-174,-20.6891428536485,-33.9458402736234
5.68,0,-172,-17.5813055307241,-35.3384629672764
5.68,0,-170,-15.3136374001632,-36.7011903806751
5.68,0,-168,-13.5485958339457,-37.9632231421662
5.68,0,-166,-12.1187890734789,-39.0263713473785
5.68,0,-164,-10.9299425219365,-39.7786620888516
5.68,0,-162,-9.92392773092979,-40.130336307037
5.68,0,-160,-9.06243395036822,-40.0546723601278
5.68,0,-158,-8.31889081610638,-39.5970353011062
5.68,0,-156,-7.67410990851231,-38.8443233525274
5.68,0,-154,-7.1137668798143,-37.8869279060784
5.68,0,-152,-6.62686475691818,-36.7986085081
5.68,0,-150,-6.20475275546903,-35.6331769887988
5.68,0,-148,-5.84047566374103,-34.4280578463262
5.68,0,-146,-5.52832835157284,-33.2087266642158
5.68,0,-144,-5.2635421905374,-31.9922551771767
5.68,0,-142,-5.04205895450173,-30.7898790539712
5.68,0,-140,-4.86036430517601,-29.608833580641
5.68,0,-138,-4.71536281549375,-28.4536631659847
5.68,0,-136,-4.60428253748969,-27.3271427702338
5.68,0,-134,-4.52460094873969,-26.2309091154614
5.68,0,-132,-4.47398659375361,-25.1658774231742
5.68,0,-130,-4.45025238585383,-24.1325043238025
5.68,0,-128,-4.45131765745299,-23.1309448682402
5.68,0,-126,-4.47517683107983,-22.1611402365048
5.68,0,-124,-4.51987314976699,-21.2228629066424
5.68,0,-122,-4.58347633180765,-20.3157379339526
5.68,0,-120,-4.66406335417608,-19.4392526364799
5.68,0,-118,-4.7597018575812,-18.5927622554946
5.68,0,-116,-4.86843592958219,-17.775495821885
5.68,0,-114,-4.98827427731184,-16.9865642322364
5.68,0,-112,-5.11718105715452,-16.2249711481179
5.68,0,-110,-5.2530698857327,-15.4896265379307
5.68,0,-108,-5.39380180516709,-14.7793622873831
5.68,0,-106,-5.53718819410101,-14.0929491643916
5.68,0,-104,-5.68099976923505,-13.429114431614
5.68,0,-102,-5.82298286192929,-12.7865594840836
5.68,0,-100,-5.9608840238012,-12.1639770057181
5.68,0,-98,-6.09248365793065,-11.5600672603385
5.68,0,-96,-6.21563874867464,-10.9735532458622
5.68,0,-94,-6.32833387130449,-10.4031945377223
5.68,0,-92,-6.4287385602998,-9.84779972688326
5.68,0,-90,-6.51526793348582,-9.30623741900668
5.68,0,-88,-6.58664240967958,-8.77744580553813
5.68,0,-86,-6.64194166167437,-8.26044084641225
5.68,0,-84,-6.68064783946302,-7.75432311972147
5.68,0,-82,-6.70267371867271,-7.25828339825203
5.68,0,-80,-6.70837276642601,-6.77160700867083
5.68,0,-78,-6.69852999025911,-6.29367701896829
5.68,0,-76,-6.67433452455526,-5.82397628632934
5.68,0,-74,-6.63733683372784,-5.36208838379466
5.68,0,-72,-6.58939483692333,-4.90769741267559
5.68,0,-70,-6.53261398089837,-4.46058670116301
5.68,0,-68,-6.46928627196444,-4.02063638982755
5.68,0,-66,-6.40183264509867,-3.58781991284735
5.68,0,-64,-6.33275201675672,-3.16219939997451
5.68,0,-62,-6.26457918241528,-2.7439200475938
5.68,0,-60,-6.19985259200833,-2.33320353592662
5.68,0,-58,-6.14109211044881,-1.93034060092985
5.68,0,-56,-6.09078621612416,-1.53568290072281
5.68,0,-54,-6.05138771527664,-1.14963434435651
5.68,0,-52,-6.02531692149836,-0.772642072606459
5.68,0,-50,-6.01497131531721,-0.405187294023083
5.68,0,-48,-6.02274090559002,-0.0477761833317523
5.68,0,-46,-6.05102881834632,0.299068957005257
5.68,0,-44,-6.10227701157522,0.634818087202079
5.68,0,-42,-6.17899744601301,0.958941212037228
5.68,0,-40,-6.2838095413307,1.27091542463812
5.68,0,-38,-6.41948534442198,1.57023111785569
5.68,0,-36,-6.58900458748551,1.85639730620098
5.68,0,-34,-6.79562280882006,2.12894603833719
5.68,0,-32,-7.04295709156172,2.38743591485464
5.68,0,-30,-7.33509597182511,2.63145475682214
5.68,0,-28,-7.67674304549871,2.86062149613338
5.68,0,-26,-8.07340837382697,3.07458737811069
5.68,0,-24,-8.53166899862324,3.27303657977587
5.68,0,-22,-9.05953157535084,3.45568635362729
5.68,0,-20,-9.66694968159374,3.62228680700532
5.68,0,-18,-10.3665821040171,3.77262042181395
5.68,0,-16,-11.1749387410626,3.90650140936847
5.68,0,-14,-12.1141727404177,4.02377498150623
5.68,0,-12,-13.2149932162929,4.12431660300008
5.68,0,-10,-14.5216008030141,4.20803127296899
5.68,0,-8,-16.100391736859,4.27485286559651
5.68,0,-6,-18.0555662187268,4.32474354417901
5.68,0,-4,-20.5538695623344,4.35769324834056
5.68,0,-2,-23.8161074574924,4.37371924299485
5.68,0,0,-27.4690310041019,4.3728657099154
5.68,0,2,-27.5596705630093,4.3552033589404
5.68,0,4,-23.9510261384376,4.3208290359556
5.68,0,6,-20.6861580632977,4.26986530864192
5.68,0,8,-18.1896008502021,4.20246001802221
