"Freq [GHz]","mag(CCL) []","mag(CCL)_1 []"
4.4,3.63090958796486,
4.41,3.4960046354876,
4.42,3.35891246636355,
4.43,3.21963972933215,
4.44,3.07820825160115,
4.45,2.93465859324469,
4.46,2.78905429026276,
4.47,2.64148690204745,
4.48,2.49208198978139,
4.49,2.34100615994826,
4.5,2.18847530730572,
4.51,2.03476418045971,
4.52,1.88021736280474,
4.53,1.72526170284076,
4.54,1.57042012773809,
4.55,1.41632661614352,
4.56,1.2637418721827,
4.57,1.11356891187249,
4.58,0.966867330887512,
4.59,0.824864463457286,
4.6,0.688960986586073,
4.61,0.560727832106181,
4.62,0.441890659668495,
4.63,0.334297806904016,
4.64,0.239867819176702,
4.65,0.160513641040467,
4.66,0.098042516446671,
4.67,0.0540335715024911,
4.68,0.0296985636585213,
4.69,0.0257345909744983,
4.7,0.0421796143005557,
4.71,0.0782815059832893,
4.72,0.132388667383323,
4.73,0.201865759057934,
4.74,0.283033602606849,
4.75,0.371130522759757,
4.76,0.460296393328971,
4.77,0.543593905839944,
4.78,0.613108945391914,
4.79,0.660221627585249,
4.8,0.676222783826297,
4.81,0.653566853988417,
4.82,0.588133792539765,
4.83,0.482683979029655,
4.84,0.350809195736471,
4.85,0.218940174775431,
4.86,0.12259246608729,
4.87,0.0952149670612252,
4.88,0.155094106974243,
4.89,0.300257665900384,
4.9,0.514355888926407,
4.91,0.776468483209686,
4.92,1.06776844105929,
4.93,1.37383738643696,
4.94,1.68449892185458,
4.95,1.99285106964216,
4.96,2.29427824882588,
4.97,2.58567167921853,
4.98,2.86487287983866,
4.99,3.13029722794695,
5,3.38069028928923,
5.4,,1.5139774831163
5.41,,1.40935507472475
5.42,,1.31052433193324
5.43,,1.2173454895044
5.44,,1.12962097429268
5.45,,1.04710205630328
5.46,,0.969496070711381
5.47,,0.896474140831021
5.48,,0.827679344079334
5.49,,0.762735294633445
5.5,,0.701255165837265
5.51,,0.642851234137201
5.52,,0.587145070374104
5.53,,0.533778477512561
5.54,,0.48242506110586
5.55,,0.432801767131542
5.56,,0.384678909542227
5.57,,0.337887347262553
5.58,,0.292325773524224
5.59,,0.247980771737351
5.6,,0.204975071678838
5.61,,0.16363792893887
5.62,,0.124568023869415
5.63,,0.0886744951932192
5.64,,0.057210528507145
5.65,,0.0318123134282028
5.66,,0.0145367277567499
5.67,,0.00787832837639688
5.68,,0.0147414388013429
5.69,,0.0383412346904261
5.7,,0.0820093125149184
5.71,,0.148889063740457
5.72,,0.241529127419746
5.73,,0.36141967991911
5.74,,0.508557681576342
5.75,,0.681154448652454
5.76,,0.875590011440774
5.77,,1.08666415540413
5.78,,1.30810974270549
5.79,,1.53325664709065
5.8,,1.75569937621828
5.81,,1.96983922839844
5.82,,2.17122650125277
5.83,,2.35669126445624
5.84,,2.52429901699846
5.85,,2.67319035930399
5.86,,2.80336427509941
5.87,,2.91545170319142
5.88,,3.01050900845743
5.89,,3.08984584729561
5.9,,3.15489125827165
5.91,,3.20709558049634
5.92,,3.24786289762808
5.93,,3.2785078767665
5.94,,3.30023115585635
5.95,,3.31410821592896
5.96,,3.32108760942854
5.97,,3.32199532604923
5.98,,3.31754288204513
5.99,,3.30833738888072
6,,3.29489239037098
