"Freq [GHz]","ECC []","ECC_1 []"
4.4,0.014670214545006,
4.41,0.0137440650575442,
4.42,0.0128300347834444,
4.43,0.0119295029946745,
4.44,0.0110439981295602,
4.45,0.0101752128638682,
4.46,0.00932501844697986,
4.47,0.00849547746560219,
4.48,0.00768885388301329,
4.49,0.00690761880845374,
4.5,0.0061544499683154,
4.51,0.00543222228437777,
4.52,0.00474398633114395,
4.53,0.00409293079744786,
4.54,0.00348232451101989,
4.55,0.00291543326169778,
4.56,0.0023954068281738,
4.57,0.00192513261635328,
4.58,0.00150705458146338,
4.59,0.00114296006783109,
4.6,0.000833743170393701,
4.61,0.000579161136608481,
4.62,0.000377609440276435,
4.63,0.000225949783921437,
4.64,0.000119430845260666,
4.65,5.17413347654011e-05,
4.66,1.52276347644196e-05,
4.67,1.29662970511746e-06,
4.68,1.0169680660918e-06,
4.69,5.94310556990916e-06,
4.7,9.23027201066386e-06,
4.71,7.1865263162373e-06,
4.72,1.48780791633442e-06,
4.73,2.2645901487433e-06,
4.74,3.19458954344805e-05,
4.75,0.000128764648086568,
4.76,0.000346757435053837,
4.77,0.000745865605061273,
4.78,0.00136295815344438,
4.79,0.00215786048491985,
4.8,0.00294863831426706,
4.81,0.00339510175396278,
4.82,0.00313191162811168,
4.83,0.00209173495957521,
4.84,0.000786365346772086,
4.85,4.4679818881127e-05,
4.86,0.000157845774445538,
4.87,0.000506211398823276,
4.88,0.000433600826409559,
4.89,9.19484947545076e-05,
4.9,5.57810111400182e-05,
4.91,0.000579622516775289,
4.92,0.00147701065745357,
4.93,0.00241534354661137,
4.94,0.00315497281461426,
4.95,0.00360901446205694,
4.96,0.00380336634976801,
4.97,0.00381845007294626,
4.98,0.00374720893035923,
4.99,0.00367411295195107,
5,0.00366975303396038,
5.4,,0.0389958897748689
5.41,,0.0346923374476644
5.42,,0.0307228818233674
5.43,,0.0270854593286839
5.44,,0.0237716062841817
5.45,,0.0207679526209043
5.46,,0.0180576311864774
5.47,,0.0156215558382544
5.48,,0.0134395363191213
5.49,,0.0114912122969766
5.5,,0.00975680121384736
5.51,,0.00821766331858851
5.52,,0.00685669118196737
5.53,,0.00565852883997793
5.54,,0.00460961666951197
5.55,,0.00369804538307014
5.56,,0.00291320425693716
5.57,,0.00224527253226386
5.58,,0.00168477185197803
5.59,,0.00122252806179942
5.6,,0.000850058102692945
5.61,,0.000559669526450614
5.62,,0.000343632997747628
5.63,,0.000192917948630032
5.64,,9.6497518248449e-05
5.65,,4.16532006351724e-05
5.66,,1.51483026907089e-05
5.67,,4.98444308308784e-06
5.68,,2.36831873340586e-06
5.69,,3.33248870576514e-06
5.7,,9.32550556915769e-06
5.71,,2.62922522424003e-05
5.72,,6.24700869416915e-05
5.73,,0.00012609405825791
5.74,,0.000224733421118753
5.75,,0.000367425082927055
5.76,,0.000569336033174506
5.77,,0.000857423481287509
5.78,,0.00127516461482998
5.79,,0.00188446678188575
5.8,,0.00276279549674355
5.81,,0.00399397915955466
5.82,,0.00565309252543458
5.83,,0.00778887568190912
5.84,,0.0104092716303344
5.85,,0.013475096137
5.86,,0.0169037835408086
5.87,,0.0205814588561964
5.88,,0.024379209242615
5.89,,0.028169115242401
5.9,,0.0318368572227989
5.91,,0.035289517984253
5.92,,0.0384587285297539
5.93,,0.0413001903397416
5.94,,0.0437908831784397
5.95,,0.0459251419770742
5.96,,0.0477104816577909
5.97,,0.0491637210236127
5.98,,0.0503076860138471
5.99,,0.0511685828981612
6,,0.0517740169514889
