"Freq [GHz]","dB10(MEG1) []","dB10(MEG2) []","dB10(MEG1)_1 []","dB10(MEG2)_1 []"
4.4,-8.4422130913253,-8.44432990957992,,
4.41,-8.24098055837049,-8.24353825410282,,
4.42,-8.03641960286418,-8.03943369646836,,
4.43,-7.82853744406304,-7.83202312484467,,
4.44,-7.61736397792082,-7.6213358066333,,
4.45,-7.40295713508783,-7.4074286660797,,
4.46,-7.18540928593527,-7.19039259122899,,
4.47,-6.96485486992865,-6.97035994491515,,
4.48,-6.74147944398099,-6.74751347095818,,
4.49,-6.51553035641788,-6.52209679946815,,
4.5,-6.28732925437037,-6.29442675655018,,
4.51,-6.05728661614781,-6.06490766864516,,
4.52,-5.82591845446389,-5.83404780870232,,
4.53,-5.5938652477913,-5.60247804589191,,
4.54,-5.36191300445521,-5.37097261423235,,
4.55,-5.13101612285147,-5.14047168288666,,
4.56,-4.90232135276847,-4.91210506408738,,
4.57,-4.67719165466493,-4.68721590290293,,
4.58,-4.45722807349768,-4.46738253230435,,
4.59,-4.2442868826595,-4.25443583781127,,
4.6,-4.04048824351431,-4.05046848693954,,
4.61,-3.84821156117892,-3.85783132726588,,
4.62,-3.67007178189052,-3.67911131836064,,
4.63,-3.50887036784799,-3.51708482073859,,
4.64,-3.36751498979495,-3.37464029660517,,
4.65,-3.24890351183651,-3.25466589253199,,
4.66,-3.15577089313239,-3.15990026987447,,
4.67,-3.09050213996743,-3.09274940006832,,
4.68,-3.05491979259969,-3.055077288935,,
4.69,-3.05005938146473,-3.04798355925332,,
4.7,-3.0759492017245,-3.07158391590816,,
4.71,-3.13141021092074,-3.1248093056267,,
4.72,-3.21388746777042,-3.20523558372034,,
4.73,-3.31931766385297,-3.30894890016462,,
4.74,-3.44203128402879,-3.43044592942865,,
4.75,-3.57468767606714,-3.56256718001578,,
4.76,-3.70825250864352,-3.69647140794996,,
4.77,-3.8320552562091,-3.8216849064602,,
4.78,-3.93401346336894,-3.9263049920729,,
4.79,-4.00118070919673,-3.99750274623169,,
