"Freq [GHz]","dB20(TARC) []","dB20(TARC)_1 []"
4.4,,-1.68059442811052
4.41,,-1.77129944830152
4.42,,-1.86962724993945
4.43,,-1.97645150705358
4.44,,-2.09277256355959
4.45,,-2.21973960354729
4.46,,-2.35867738467859
4.47,,-2.51111862815356
4.48,,-2.67884346616546
4.49,,-2.86392775793622
4.5,,-3.06880264155823
4.51,,-3.29632845315298
4.52,,-3.54988721434351
4.53,,-3.83349941258927
4.54,,-4.15197301204577
4.55,,-4.51109591205465
4.56,,-4.91788802249881
4.57,,-5.38093673361151
4.58,,-5.91085138477724
4.59,,-6.52089075787
4.6,,-7.22784571158919
4.61,,-8.05329855377166
4.62,,-9.02542090454719
4.63,,-10.1814384191868
4.64,,-11.5704126103502
4.65,,-13.2532846795583
4.66,,-15.2834904709127
4.67,,-17.5876213668512
4.68,,-19.4966356575681
4.69,,-19.4741394452429
4.7,,-17.5696084061147
4.71,,-15.320848309416
4.72,,-13.3715414773197
4.73,,-11.79376540742
4.74,,-10.5407286583058
4.75,,-9.56022782944434
4.76,,-8.81332685467119
4.77,,-8.27487450211009
4.78,,-7.93171521911987
4.79,,-7.7814900218202
4.8,,-7.83227374918274
4.81,,-8.10254886297693
4.82,,-8.62001850034031
4.83,,-9.41464483983338
4.84,,-10.4911980666754
4.85,,-11.7393589268907
4.86,,-12.7285168425646
4.87,,-12.6919005009122
4.88,,-11.4450328600187
4.89,,-9.70016820799989
4.9,,-8.03339332548152
4.91,,-6.62858571185546
4.92,,-5.49436747144292
4.93,,-4.59107456717284
4.94,,-3.87321370423329
4.95,,-3.30109075790937
4.96,,-2.84286858798447
4.97,,-2.47385369183322
4.98,,-2.17515516152769
4.99,,-1.93238403553724
5,,-1.73457353341874
5.4,-5.57231980433667,
5.41,-5.86414534855707,
5.42,-6.16169796554575,
5.43,-6.46446615519774,
5.44,-6.7720557461017,
5.45,-7.08424451350699,
5.46,-7.4010451919453,
5.47,-7.72277740595232,
5.48,-8.05014941065058,
5.49,-8.38435128647136,
5.5,-8.72716256432154,
5.51,-9.08107944256996,
5.52,-9.44947021278917,
5.53,-9.8367729104175,
5.54,-10.2487577387458,
5.55,-10.6928906467837,
5.56,-11.1788576592174,
5.57,-11.7193499386662,
5.58,-12.3312823928047,
5.59,-13.037757078685,
5.6,-13.8713692890158,
5.61,-14.8801094373669,
5.62,-16.1387563352257,
5.63,-17.7732766970385,
5.64,-20.0210292585266,
5.65,-23.4119178538816,
5.66,-29.4232271736016,
5.67,-33.0133696425395,
5.68,-24.4736378858578,
5.69,-19.4299394392698,
5.7,-16.0114920549019,
5.71,-13.4283751746193,
5.72,-11.3666792310025,
5.73,-9.67516077542055,
5.74,-8.27024996586593,
5.75,-7.09995447533626,
5.76,-6.12780555580604,
5.77,-5.32514396743631,
5.78,-4.66745889877465,
5.79,-4.13285324079584,
5.8,-3.70158406308804,
5.81,-3.35605039474764,
5.82,-3.08087376763968,
5.83,-2.86290914992533,
5.84,-2.69114515859158,
5.85,-2.55651340989081,
5.86,-2.45164630148498,
5.87,-2.37061979963475,
5.88,-2.3087069924406,
5.89,-2.2621569636484,
5.9,-2.22800495737532,
5.91,-2.20391429868747,
5.92,-2.18804752708578,
5.93,-2.17896289146675,
5.94,-2.17553206578675,
5.95,-2.17687519429588,
5.96,-2.18230986195216,
5.97,-2.19131113720201,
5.98,-2.20348036207669,
5.99,-2.21852082956919,
6,-2.23621887925279,
