"Freq [GHz]","dB(S(1,1)) []"
4,-0.489175062285529
4.02,-0.523388306703823
4.04,-0.561255216184007
4.06,-0.603302547222535
4.08,-0.650153604618435
4.1,-0.702549714753201
4.12,-0.761377324679191
4.14,-0.827702422042364
4.16,-0.902814546079702
4.18,-0.988283451475277
4.2,-1.0860325830423
4.22,-1.19843504784437
4.24,-1.32843991783653
4.26,-1.47973973293946
4.28,-1.65699440501597
4.3,-1.8661329589314
4.32,-2.11476363313328
4.34,-2.41273631492657
4.36,-2.77292164262556
4.38,-3.21230280369393
4.4,-3.75352705229786
4.42,-4.42714796526479
4.44,-5.27492399808544
4.46,-6.3547044445547
4.48,-7.74727017294604
4.5,-9.56225955568361
4.52,-11.9146297651926
4.54,-14.6682007612366
4.56,-16.2580889397522
4.58,-14.6335408096963
4.6,-11.8681690732266
4.62,-9.51436094871845
4.64,-7.70631731635275
4.66,-6.33099592730813
4.68,-5.28133665056686
4.7,-4.47997876137911
4.72,-3.87432055194468
4.74,-3.43131047999786
4.76,-3.13541858879485
4.78,-2.99078884632492
4.8,-3.02994471046156
4.82,-3.3342159877005
4.84,-4.07019170543348
4.86,-5.4898294326285
4.88,-7.39818837012311
4.9,-7.50767403223939
4.92,-5.47014149893435
4.94,-3.72161144711263
4.96,-2.63460215321312
4.98,-1.96716852007371
5,-1.53710322206676
5.02,-1.24436284546734
5.04,-1.03527948020623
5.06,-0.880105594296537
5.08,-0.761626584936064
5.1,-0.669480708716438
5.12,-0.597248579051894
5.14,-0.540907533919386
5.16,-0.49798479687656
5.18,-0.467085908715368
5.2,-0.447636486676079
5.22,-0.43975437137212
5.24,-0.444209671657709
5.26,-0.462452143660751
5.28,-0.496698109393201
5.3,-0.550077201421775
5.32,-0.626844683475651
5.34,-0.732668690702742
5.36,-0.87500334366708
5.38,-1.06355763823276
5.4,-1.31086564511258
5.42,-1.63295685870796
5.44,-2.05012298379502
5.46,-2.58779847204065
5.48,-3.27766090105515
5.5,-4.1592974071984
5.52,-5.28331439458765
5.54,-6.71781675627411
5.56,-8.56214383804255
5.58,-10.9750078164083
5.6,-14.2157810880783
5.62,-18.4209088683567
5.64,-20.711953790942
5.66,-17.5079814270308
5.68,-13.8804679917549
5.7,-11.194809761895
5.72,-9.19312694354522
5.74,-7.63987912737768
5.76,-6.39526608152553
5.78,-5.37588157660486
5.8,-4.52952456292102
5.82,-3.82169175566772
5.84,-3.22816095907034
5.86,-2.73078605546088
5.88,-2.31509974453652
5.9,-1.96898356414485
5.92,-1.68196971180389
5.94,-1.44489845707779
5.96,-1.24975479180952
5.98,-1.08957849286457
6,-0.958391669385192
