"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,1))_1 []"
4.4,-3.63014500415511,,-17.492780040358,
4.42,-4.26307631650846,,-16.4994553038103,
4.44,-5.04898464634048,,-15.5432719702417,
4.46,-6.03915270296021,,-14.6433563309365,
4.48,-7.31295518048773,,-13.8225670834245,
4.5,-9.00334889101583,,-13.1075746326172,
4.52,-11.3556491398278,,-12.5286761739789,
4.54,-14.8743529943776,,-12.1189460798836,
4.56,-20.3860955238227,,-11.911989450364,
4.58,-21.1490317429151,,-11.9376577599004,
4.6,-15.1704074163926,,-12.2162491782416,
4.62,-11.2173692435824,,-12.7537011589239,
4.64,-8.626984751049,,-13.5411502388534,
4.66,-6.84057362944614,,-14.5602136179186,
4.68,-5.57942566820462,,-15.7918470177943,
4.7,-4.68701392634391,,-17.224903967837,
4.72,-4.06931087496651,,-18.8611029970449,
4.74,-3.6711875351945,,-20.7129815885207,
4.76,-3.46701968360155,,-22.7860000433646,
4.78,-3.45975440317587,,-25.0156576490292,
4.8,-3.68875022558894,,-27.05065333003,
4.82,-4.24333103592392,,-27.6882779998577,
4.84,-5.2181305535247,,-25.9012172379474,
4.86,-6.30848247167406,,-24.1112243601853,
4.88,-6.3316554028345,,-24.9308629470976,
4.9,-5.17902613096392,,-29.7149400380353,
4.92,-4.00019050436426,,-50.3284312965527,
4.94,nan,,nan,
4.96,-2.40876879562035,,-26.3062901333895,
4.98,-1.84231715132955,,-25.4983475619537,
5,-1.47193718655089,,-25.7630264268383,
5.4,,-1.46111605246315,,-25.0369411991524
5.42,,-1.79078493630154,,-23.3605201192273
5.44,,-2.21695744509047,,-21.8185535813741
5.46,,-2.76670288482655,,-20.4180206637066
5.48,,-3.47434622539508,,-19.1720634651247
5.5,,-4.38338496110469,,-18.098525170398
5.52,,-5.54967167012354,,-17.2171454766905
5.54,,-7.04744091702486,,-16.5455992421485
5.56,,-8.98112032751278,,-16.0934848608808
5.58,,-11.5065902817843,,-15.8496879325365
5.6,,-14.8288169294625,,-15.7571573996377
5.62,,-18.5253665593184,,-15.691006851916
5.64,,-18.1699441959896,,-15.6380543171141
5.66,,-14.5285781252167,,-15.8732990139544
5.68,,-11.6020435847795,,-16.3739590427773
5.7,,-9.46004557134446,,-16.9720652213788
5.72,,-7.83573013175674,,-17.5980777908715
5.74,,-6.56138053883949,,-18.2262498594116
5.76,,-5.5360124095904,,-18.8431921562086
5.78,,-4.69583646628894,,-19.4420008195711
5.8,,-3.99853634348011,,-20.0213380823187
5.82,,-3.4148236560222,,-20.5846088306757
5.84,,-2.92362407321792,,-21.138516549315
5.86,,-2.50918684449053,,-21.6912835147378
5.88,,-2.15929140577179,,-22.2510045780177
5.9,,-1.86411948215982,,-22.8244689220132
5.92,,-1.61554657156139,,-23.4165545001683
5.94,,-1.40670054659837,,-24.030117350263
5.96,,-1.23168779272536,,-24.6662136452077
5.98,,-1.08542056959868,,-25.3244895731449
6,,-0.963502266247713,,-26.0036133089046
6.02,,-0.862143622253716,,-26.701671809322
6.04,,-0.778094447780734,,-27.4164956873045
6.06,,-0.708582931690389,,-28.1459028122751
6.08,,-0.651259199298109,,-28.8878667080169
6.1,,-0.604142237145692,,-29.6406225752613
6.12,,-0.56557039163008,,-30.402725143957
6.14,,-0.534155950446774,,-31.173071044199
6.16,,-0.508744229908771,,-31.9508955665941
6.18,,-0.488377362612276,,-32.7357504246419
6.2,,-0.472262740850194,,-33.5274657801201
6.22,,-0.459745880145403,,-34.3260963430803
6.24,,-0.450287340567285,,-35.1318475630675
6.26,,-0.443443276175121,,-35.9449733489431
6.28,,-0.438849162067856,,-36.7656307811117
6.3,,-0.43620625985258,,-37.5936691864305
6.32,,-0.435270413547517,,-38.4283200857947
6.34,,-0.435842809554282,,-39.2677409672414
6.36,,-0.437762379773756,,-40.1083520451695
6.38,,-0.440899571931582,,-40.9438998690224
6.4,,-0.445151253182461,,-41.7642074028241
6.42,,-0.450436550861535,,-42.5536742576939
6.44,,-0.456693467367402,,-43.2898482154719
6.46,,-0.463876134579352,,-43.9428575809797
6.48,,-0.471952597352905,,-44.4770424264617
6.5,,-0.480903035879747,,-44.8561490193406
6.52,,-0.49071835356792,,-45.0519669872026
6.54,,-0.50139907112262,,-45.0532562036922
6.56,,-0.512954479111385,,-44.8698394051823
6.58,,-0.525402010913656,,-44.5290724833787
6.6,,-0.538766805948494,,-44.0671084673912
