"dvv [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,1))_1 []","dB(S(1,1))_1 []"
0.5,4.4,-1.57430741361982,-32.4707262598696,,
0.5,4.42,-1.77327839608088,-31.8500749741511,,
0.5,4.44,-2.01047663811566,-31.2233233791093,,
0.5,4.46,-2.29591217044225,-30.5952019301751,,
0.5,4.48,-2.64293982907587,-29.9725760881982,,
0.5,4.5,-3.06963138978207,-29.3652744580788,,
0.5,4.52,-3.60083408877781,-28.7872238323709,,
0.5,4.54,-4.27134776802495,-28.257984606816,,
0.5,4.56,-5.13101357284759,-27.8047976508078,,
0.5,4.58,-6.2532553113028,-27.4652927411081,,
0.5,4.6,-7.75013411578942,-27.2911583902448,,
0.5,4.62,-9.79888083083436,-27.3536421411022,,
0.5,4.64,-12.6703013468576,-27.7537082231255,,
0.5,4.66,-16.4603857297641,-28.6461785292414,,
0.5,4.68,-18.173857182465,-30.3108718530492,,
0.5,4.7,-14.8286723793822,-33.4198495874719,,
0.5,4.72,-11.4744755053118,-40.7670668115401,,
0.5,4.74,-9.17793538659518,-43.4656360688272,,
0.5,4.76,-7.71861455777716,-31.4723847116594,,
0.5,4.78,-6.95320224131119,-25.6120428458928,,
0.5,4.8,-6.90412198219874,-21.3940747375439,,
0.5,4.82,-7.8395900540538,-18.1030790564916,,
0.5,4.84,-10.4387564074698,-15.7757518416602,,
0.5,4.86,-14.2207853562449,-14.790213833512,,
0.5,4.88,-11.2096421282726,-15.333352402955,,
0.5,4.9,-7.27809427090114,-17.0004586744795,,
0.5,4.92,-5.02454263131563,-19.1800595993723,,
0.5,4.94,-3.68625676163817,-21.4435737934322,,
0.5,4.96,-2.83164180376987,-23.5504813035383,,
0.5,4.98,-2.25512207599173,-25.3684871082356,,
0.5,5,-1.85204497766613,-26.8316191836072,,
0.5,5.4,,,-16.1221486563507,-6.96576298020449
0.5,5.42,,,-15.9558156367546,-8.03790027403739
0.5,5.44,,,-15.9089205344802,-9.15576082666657
0.5,5.46,,,-15.9644337275677,-10.2561012282841
0.5,5.48,,,-16.1006514742808,-11.2479610465265
0.5,5.5,,,-16.2905503993292,-12.0255908388792
0.5,5.52,,,-16.5005733879011,-12.5038883564841
0.5,5.54,,,-16.6909935327834,-12.6601077111159
0.5,5.56,,,-16.822317797066,-12.5467060639093
0.5,5.58,,,-16.8705071500918,-12.2689857423603
0.5,5.6,,,-16.8513416120015,-11.9471539985092
0.5,5.62,,,-16.8691238569563,-11.6189121159896
0.5,5.64,,,-17.0699846028503,-11.0962533748884
0.5,5.66,,,-17.5658440451025,-10.3222688111121
0.5,5.68,,,-18.4071780972127,-9.59049820377989
0.5,5.7,,,-19.3437751005648,-8.93815978121301
0.5,5.72,,,-20.2754702595543,-8.3030177661981
0.5,5.74,,,-21.2297999932095,-7.66242757720992
0.5,5.76,,,-22.2475314218974,-7.01301726974163
0.5,5.78,,,-23.3620932417569,-6.3595278792839
0.5,5.8,,,-24.6018326473934,-5.71143089442656
0.5,5.82,,,-25.9929907939486,-5.08071034042332
0.5,5.84,,,-27.5611024901216,-4.47975307515516
0.5,5.86,,,-29.3311062283418,-3.91954545233667
0.5,5.88,,,-31.3250709450412,-3.40842813832535
0.5,5.9,,,-33.5515932271573,-2.9515008716659
0.5,5.92,,,-35.9662868829248,-2.55061827665489
0.5,5.94,,,-38.3508342164949,-2.20482203152131
0.5,5.96,,,-40.1076304418686,-1.91101784822312
0.5,5.98,,,-40.5140091062871,-1.66471917217954
0.5,6,,,-39.7238022791964,-1.46072608085885
