"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []","dB(S(2,1)) [] - dvv='0.5mm'","dB(S(2,1)) [] - dvv='2.5mm'","dB(S(2,1)) [] - dvv='4.5mm'","dB(S(2,1)) [] - dvv='6.5mm'","dB(S(2,1)) [] - dvv='0.5mm'","dB(S(2,1)) [] - dvv='2.5mm'","dB(S(2,1)) [] - dvv='4.5mm'","dB(S(2,1)) [] - dvv='6.5mm'"
4.4,-2.56228197207835,,-32.4707262598696,-30.9043878348906,-26.6628811296005,-22.3093304140389,,,,
4.42,-2.94521765398658,,-31.8500749741511,-30.2574256652428,-25.9340769059774,-21.4908129019543,,,,
4.44,-3.40968479241195,,-31.2233233791093,-29.6044138861308,-25.2067974014045,-20.6827236589687,,,,
4.46,-3.97839566263113,,-30.5952019301751,-28.9502245611444,-24.4891718060722,-19.8966123141822,,,,
4.48,-4.68236403405489,,-29.9725760881982,-28.3018804045179,-23.7922870624176,-19.147408762126,,,,
4.5,-5.5651110504154,,-29.3652744580788,-27.6693616022929,-23.1310307608839,-18.4539996625974,,,,
4.52,-6.68984001627377,,-28.7872238323709,-27.0666883267361,-22.525055805068,-17.8396874540728,,,,
4.54,-8.15218223253289,,-28.257984606816,-26.5133434401945,-21.9997883479761,-17.3323625936234,,,,
4.56,-10.1028347887878,,-27.8047976508078,-26.0360934361982,-21.587327019821,-16.964145803479,,,,
4.58,-12.7768654614446,,-27.4652927411081,-25.6712584369032,-21.3270185341845,-16.7702218999436,,,,
4.6,-16.3658797747011,,-27.2911583902448,-25.4675325760967,-21.2655385579368,-16.7867157189161,,,,
4.62,-19.0283239197615,,-27.3536421411022,-25.4897763236793,-21.4566582059619,-17.0479426857403,,,,
4.64,-16.4435387865307,,-27.7537082231255,-25.8254209240881,-21.9618313736313,-17.5842653686764,,,,
4.66,-12.8298045091322,,-28.6461785292414,-26.5990307196746,-22.8545378003635,-18.4227164699226,,,,
4.68,-10.1687633615861,,-30.3108718530492,-28.0129982931232,-24.2336095205566,-19.5926006801294,,,,
4.7,-8.29600200912412,,-33.4198495874719,-30.4789594549049,-26.2481454757824,-21.1358653312315,,,,
4.72,-6.9901839883879,,-40.7670668115401,-35.1363678810456,-29.0626916502935,-23.1086450856916,,,,
4.74,-6.12199342285671,,-43.4656360688272,-42.7083528816037,-31.8486514699754,-25.4722031663593,,,,
4.76,-5.63754411166125,,-31.4723847116594,-33.0451006767614,-30.1209927314215,-27.332309784355,,,,
4.78,-5.55908809192477,,-25.6120428458928,-26.4862734193691,-25.5143681633601,-26.1314737081665,,,,
4.8,-6.02726607826598,,-21.3940747375439,-21.9703618930031,-21.4263314312352,-22.5459226620335,,,,
4.82,-7.44883451329602,,-18.1030790564916,-18.5022968070217,-18.148785987322,-19.01808083872,,,,
4.84,-11.0426769043521,,-15.7757518416602,-16.0229097904097,-15.8362515159203,-16.3893511632877,,,,
4.86,-22.4540652687303,,-14.790213833512,-14.910688076499,-14.9099350657495,-15.1984346458715,,,,
4.88,-14.1103783722308,,-15.333352402955,-15.4231401111179,-15.6044002864486,-15.7557102638296,,,,
4.9,-7.9861306746839,,-17.0004586744795,-17.1821708752629,-17.5237627907894,-17.6809501101956,,,,
4.92,-5.30366968732578,,-19.1800595993723,-19.5299990072423,-20.0127933593802,-20.1862215204926,,,,
4.94,-3.8932224931774,,-21.4435737934322,-21.9842205932823,-22.5540302884528,-22.3694541323834,,,,
4.96,-3.15379135363964,,-23.5504813035383,-24.2563447093323,-24.7471107782288,-23.0704464017036,,,,
4.98,-2.95248069752372,,-25.3684871082356,-26.164736906531,-26.2329433423842,-21.4642522939305,,,,
5,-3.29520692710712,,-26.8316191836072,-27.5994116539062,-26.7563049538752,-18.3425629450395,,,,
5.4,,-1.02274292879431,,,,,-16.1221486563507,-12.2023810517156,-8.50143183805774,-14.1298838382059
5.42,,-0.935700281313616,,,,,-15.9558156367546,-12.1490974328279,-9.00730797904428,-15.0926752811724
5.44,,-0.919643223531607,,,,,-15.9089205344802,-12.1891004907804,-9.65146353299564,-15.865071220206
5.46,,-0.956817277223739,,,,,-15.9644337275677,-12.2897190778762,-10.6843025328696,-16.5241865500594
5.48,,-1.04727767844856,,,,,-16.1006514742808,-12.416461926466,-11.6519823071902,-17.1331420818861
5.5,,-1.20208206336257,,,,,-16.2905503993292,-12.5332069788396,-12.0699940696258,-17.7543496666458
5.52,,-1.44322464650146,,,,,-16.5005733879011,-12.6015009594681,-12.3011575392939,-18.4620231463385
5.54,,-1.80701527615686,,,,,-16.6909935327834,-12.5810575559146,-12.6162546582658,-19.3561165506745
5.56,,-2.3499366647457,,,,,-16.822317797066,-12.4384512693517,-13.0739805995467,-20.5766076254677
5.58,,-3.15444133654911,,,,,-16.8705071500918,-12.1813472915878,-12.9951627561758,-22.2961230318508
5.6,,-4.32261430185361,,,,,-16.8513416120015,-11.9361260502095,-12.6494285804455,-24.552858600245
5.62,,-5.91250711554416,,,,,-16.8691238569563,-12.0093505151248,-13.5810352119084,-26.4453048492897
5.64,,-7.68947931386815,,,,,-17.0699846028503,-12.7417900162914,-15.7052310211562,-26.1071158466965
5.66,,-8.70330235903085,,,,,-17.5658440451025,-14.1958750070459,-18.0262270539955,-24.6449525602265
5.68,,-8.11446377403002,,,,,-18.4071780972127,-15.8075897499384,-19.3558027214129,-23.7807225902053
5.7,,-6.69098612562227,,,,,-19.3437751005648,-17.0935003693995,-20.0074970928546,-23.7301949972248
5.72,,-5.31863874467515,,,,,-20.2754702595543,-18.0697266059706,-20.5111841912819,-24.2490146976929
5.74,,-4.23395076423599,,,,,-21.2297999932095,-18.8470700301533,-20.9579036897222,-25.0576167026771
5.76,,-3.41684057406997,,,,,-22.2475314218974,-19.506798662308,-21.3277610378258,-25.9233813598969
5.78,,-2.80402078720059,,,,,-23.3620932417569,-20.1066601370846,-21.6209830695725,-26.6840487567909
5.8,,-2.34028119821558,,,,,-24.6018326473934,-20.6895435480817,-21.8606573875129,-27.2629763647087
5.82,,-1.98498572372337,,,,,-25.9929907939486,-21.2873125894303,-22.0763105200375,-27.6635026633657
5.84,,-1.70946430073458,,,,,-27.5611024901216,-21.9235103454726,-22.2939136693744,-27.9366654879919
5.86,,-1.49358258348953,,,,,-29.3311062283418,-22.6153740538682,-22.5326470523589,-28.1437772988623
5.88,,-1.32306060518241,,,,,-31.3250709450412,-23.3750265059803,-22.804977996046,-28.3343625649905
5.9,,-1.18760725196558,,,,,-33.5515932271573,-24.2099459476134,-23.1177569223163,-28.5405938981654
5.92,,-1.0796688617457,,,,,-35.9662868829248,-25.1228406344991,-23.4733525281899,-28.7799981733897
5.94,,-0.993597380334934,,,,,-38.3508342164949,-26.110892251134,-23.8705440842933,-29.0600258506349
5.96,,-0.925095781064837,,,,,-40.1076304418686,-27.1641023813463,-24.3051532814822,-29.3818875833685
5.98,,-0.87084480138083,,,,,-40.5140091062871,-28.2622875155119,-24.7704682374595,-29.7431802967867
6,,-0.828248178599513,,,,,-39.7238022791964,-29.3703817595828,-25.2575197316577,-30.1395256851111
